Sentence,Gold,Pred
This study was undertaken to determine the effects of OCT on serum PTH levels and bone turnover in states of normal or impaired renal function .,"('impaired', 'B')","('impaired', 'O')"
This study was undertaken to determine the effects of OCT on serum PTH levels and bone turnover in states of normal or impaired renal function .,"('renal', 'I')","('renal', 'O')"
This study was undertaken to determine the effects of OCT on serum PTH levels and bone turnover in states of normal or impaired renal function .,"('function', 'I')","('function', 'O')"
"METHODS : Sixty dogs were either nephrectomized ( Nx , N = 38 ) or sham - operated ( Sham , N = 22 ) .","('nephrectomized', 'O')","('nephrectomized', 'B')"
"Fourteen weeks after the start of phosphate supplementation , half of the Nx and Sham dogs received doses of OCT ( three times per week ) ; the other half were given vehicle for 60 weeks .","('Nx', 'O')","('Nx', 'B')"
"RESULTS : In Nx dogs , OCT significantly decreased serum PTH levels soon after the induction of renal insufficiency .","('Nx', 'O')","('Nx', 'B')"
"Serum PTH levels rose thereafter , but the rise was less pronounced compared with baseline than the rise seen in Nx control .","('Nx', 'O')","('Nx', 'B')"
"In addition , OCT improved mineralization lag time , ( that is , the rate at which osteoid mineralizes ) in both Nx and Sham dogs .","('Nx', 'O')","('Nx', 'B')"
There was a history of ischemic cardiac disease 9 years earlier .,"('cardiac', 'B')","('cardiac', 'I')"
Urine N - acetyl - beta - D - glucosaminidase - - a marker of tubular damage ?,"('tubular', 'O')","('tubular', 'B')"
"OBJECTIVES : To assess changes induced by lithium maintenance therapy on the incidence of thyroid , parathyroid and ion alterations .","(',', 'O')","(',', 'I')"
"OBJECTIVES : To assess changes induced by lithium maintenance therapy on the incidence of thyroid , parathyroid and ion alterations .","('parathyroid', 'O')","('parathyroid', 'I')"
SETTING : Affective Disorders Clinic at St .,"('Affective', 'O')","('Affective', 'B')"
SETTING : Affective Disorders Clinic at St .,"('Disorders', 'O')","('Disorders', 'I')"
The control group consisted of 82 patients with no psychiatric or endocrinological diagnoses from the hospital ' s out - patient clinics .,"('psychiatric', 'B')","('psychiatric', 'O')"
Severe immune hemolytic anemia associated with prophylactic use of cefotetan in obstetric and gynecologic procedures .,"('immune', 'O')","('immune', 'B')"
Severe immune hemolytic anemia associated with prophylactic use of cefotetan in obstetric and gynecologic procedures .,"('hemolytic', 'B')","('hemolytic', 'I')"
"Second - and third - generation cephalosporins , especially cefotetan , are increasingly associated with severe , sometimes fatal immune hemolytic anemia .","('immune', 'O')","('immune', 'B')"
"Second - and third - generation cephalosporins , especially cefotetan , are increasingly associated with severe , sometimes fatal immune hemolytic anemia .","('hemolytic', 'B')","('hemolytic', 'I')"
Eight of these cases of severe immune hemolytic anemia are described .,"('immune', 'O')","('immune', 'B')"
Eight of these cases of severe immune hemolytic anemia are described .,"('hemolytic', 'B')","('hemolytic', 'I')"
Their safety in patients undergoing intracranial surgery is under debate .,"('surgery', 'O')","('surgery', 'I')"
RESULTS : Patients randomly assigned to enalapril had a 33 % greater likelihood of decreased renal function than controls ( P = . 003 ) .,"('decreased', 'B')","('decreased', 'O')"
RESULTS : Patients randomly assigned to enalapril had a 33 % greater likelihood of decreased renal function than controls ( P = . 003 ) .,"('renal', 'I')","('renal', 'O')"
RESULTS : Patients randomly assigned to enalapril had a 33 % greater likelihood of decreased renal function than controls ( P = . 003 ) .,"('function', 'I')","('function', 'O')"
"By multivariate analysis , in both the placebo and enalapril groups older age , diuretic therapy , and diabetes were associated with decreased renal function , whereas beta - blocker therapy and higher ejection fraction were renoprotective .","('decreased', 'B')","('decreased', 'O')"
"By multivariate analysis , in both the placebo and enalapril groups older age , diuretic therapy , and diabetes were associated with decreased renal function , whereas beta - blocker therapy and higher ejection fraction were renoprotective .","('renal', 'I')","('renal', 'O')"
"By multivariate analysis , in both the placebo and enalapril groups older age , diuretic therapy , and diabetes were associated with decreased renal function , whereas beta - blocker therapy and higher ejection fraction were renoprotective .","('function', 'I')","('function', 'O')"
"Older age was associated with a greater risk of developing decreased renal function in both groups , but significantly more so in the enalapril group ( enalapril : risk ratio [ RR ] 1 . 42 per 10 years , 95 % confidence interval [ CI ] 1 . 32 - 1 . 52 with enalapril ; placebo : RR 1 . 18 , 95 % CI 1 . 12 - 1 . 25 ) .","('decreased', 'B')","('decreased', 'O')"
"Older age was associated with a greater risk of developing decreased renal function in both groups , but significantly more so in the enalapril group ( enalapril : risk ratio [ RR ] 1 . 42 per 10 years , 95 % confidence interval [ CI ] 1 . 32 - 1 . 52 with enalapril ; placebo : RR 1 . 18 , 95 % CI 1 . 12 - 1 . 25 ) .","('renal', 'I')","('renal', 'O')"
"Older age was associated with a greater risk of developing decreased renal function in both groups , but significantly more so in the enalapril group ( enalapril : risk ratio [ RR ] 1 . 42 per 10 years , 95 % confidence interval [ CI ] 1 . 32 - 1 . 52 with enalapril ; placebo : RR 1 . 18 , 95 % CI 1 . 12 - 1 . 25 ) .","('function', 'I')","('function', 'O')"
"Diuretic therapy was likewise associated with a greater risk of decreased renal function in the enalapril group ( RR 1 . 89 , 95 % CI 1 . 70 - 2 . 08 ) than in the placebo group ( RR 1 . 35 , 95 % CI 1 . 09 - 1 . 66 ) .","('decreased', 'B')","('decreased', 'O')"
"Diuretic therapy was likewise associated with a greater risk of decreased renal function in the enalapril group ( RR 1 . 89 , 95 % CI 1 . 70 - 2 . 08 ) than in the placebo group ( RR 1 . 35 , 95 % CI 1 . 09 - 1 . 66 ) .","('renal', 'I')","('renal', 'O')"
"Diuretic therapy was likewise associated with a greater risk of decreased renal function in the enalapril group ( RR 1 . 89 , 95 % CI 1 . 70 - 2 . 08 ) than in the placebo group ( RR 1 . 35 , 95 % CI 1 . 09 - 1 . 66 ) .","('function', 'I')","('function', 'O')"
The use of phosphodiesterase inhibitors such as milrinone in the treatment of severe heart failure is frequently restricted because they cause vasodilation and hypotension .,"('vasodilation', 'O')","('vasodilation', 'B')"
"In patients with decompensated heart failure with hypotension after treatment with milrinone , low doses of vasopressin restored blood pressure without inhibiting the inotropic effect of milrinone .","('decompensated', 'O')","('decompensated', 'B')"
"In patients with decompensated heart failure with hypotension after treatment with milrinone , low doses of vasopressin restored blood pressure without inhibiting the inotropic effect of milrinone .","('heart', 'B')","('heart', 'I')"
Systemically administered corticosteroids were used in 75 of 210 cases ; a significant number of posterior subcapsular cataracts was found .,"('posterior', 'O')","('posterior', 'B')"
Systemically administered corticosteroids were used in 75 of 210 cases ; a significant number of posterior subcapsular cataracts was found .,"('subcapsular', 'O')","('subcapsular', 'I')"
Systemically administered corticosteroids were used in 75 of 210 cases ; a significant number of posterior subcapsular cataracts was found .,"('cataracts', 'B')","('cataracts', 'I')"
This association with uveitis and JRA was not noted previously .,"('JRA', 'O')","('JRA', 'B')"
